Country_of_Operator,Users,Purpose,Class_of_Orbit,Type_of_Orbit,Perigee_km,Apogee_km,Eccentricity,Period_minutes,Launch_Site,Launch_Mass_kg,Inclination_radians
Azerbaijan,Government,Communications,GEO,,35778.0,35794.0,0.00019,1436.08,Guiana Space Center,3250.0,0.000698132
Pakistan,Government/Military,Remote Sensing/Technology Development,LEO,Sun-Synchronous,984.0,1014.0,0.00204,105.1,Baikonur Cosmodrome,70.0,1.731366618
Multinational,Government,Communications,GEO,,35780.0,35791.0,0.00013,1436.06,Baikonur Cosmodrome,3304.0,0.00122173
Multinational,Government,Communications,GEO,,35834.0,35883.0,0.00058,1439.76,Baikonur Cosmodrome,5420.0,0.001047198
Multinational,Government,Communications,GEO,,35605.0,35623.0,0.00021,1427.27,Guiana Space Center,4940.0,0.000523599
Multinational,Government,Communications,GEO,,35768.0,35805.0,0.00044,1436.1,Guiana Space Center,3400.0,0.000872665
Germany,Civil,Technology Development,LEO,Sun-Synchronous,709.0,718.0,0.00064,99.0,Sriharikota Launch Station,1.0,1.715658655
Germany,Civil,Technology Development,LEO,Sun-Synchronous,555.0,579.0,0.00173,96.01,Baikonur Cosmodrome,1.0,1.130973355
Germany,Civil,Technology Development,LEO,Sun-Synchronous,554.0,581.0,0.00195,96.01,Baikonur Cosmodrome,1.0,1.130973355
China (PR),Civil,Earth Observation,LEO,Sun-Synchronous,681.0,703.0,0.00156,98.6,Plesetsk Cosmodrome,166.0,1.708677338
Germany,Government/Civil,Remote Sensing/Technology Development,LEO,Sun-Synchronous,500.0,521.0,0.00153,94.8,Satish Dhawan Space Center,92.0,1.708677338
Belarus,Government,Remote Sensing,LEO,,503.0,507.0,0.00029,94.7,Baikonur Cosmodrome,400.0,1.701696021
Russia,Commercial,Communications,GEO,,35777.0,35795.0,0.00021,1436.09,Cape Canaveral,1452.0,0.000523599
Brazil,Military/Commercial,Communications,GEO,,35776.0,35797.0,0.00025,1436.11,Guiana Space Center,1780.0,0.014660766
Brazil,Commercial,Communications,GEO,,35769.0,35803.0,0.0004,1436.07,Guiana Space Center,1780.0,0.000698132
Brazil,Commercial,Communications,GEO,,35772.0,35800.0,0.00033,1436.09,Guiana Space Center,2495.0,0.00122173
Multinational,Government,Space Science,LEO,Sun-Synchronous,594.0,886.0,0.02053,99.6,Dombarovsky Launch Facility,10.0,1.705186679
